0,2,61,0.002314785044811396
0,5,38,0.0032329272658784196
1,2,70,0.003422852841299899
1,3,66,0.0019292282729525478
2,2,56,0.003609832967011574
2,3,55,0.0034922502966415916
3,2,59,0.0020059457131616667
4,1,40,0.004021624249583607
4,2,47,0.0032326761154647106
4,4,65,0.002770673817269184
5,1,72,0.0024308054441370634
5,2,54,0.0037080071050652
5,4,67,0.002546991103205987
6,4,53,0.0017764493678394861
7,1,55,0.0027380923927919215
7,4,61,0.004954860899218698
7,5,71,0.002086381617613696
8,3,59,0.002467972112924461
8,5,48,0.002459714433758271
9,1,57,0.0034229086335266145
9,2,70,0.0018846788619077783
