0,2,31,0.0032525273413556025
0,3,55,0.002272928129141056
0,5,73,0.0021566781495676816
1,2,50,0.00399850521113952
1,3,38,0.0025324513045735485
1,5,64,0.002822198774536352
2,1,44,0.002321287520068493
2,4,52,0.003140942727300714
2,5,48,0.0036585808501769556
3,3,71,0.0013763253954906728
3,4,56,0.0034452312664543776
3,5,71,0.0024268315954900713
4,2,24,0.00505021265663448
4,3,61,0.0034000835413477166
4,4,34,0.003941100330883835
5,3,47,0.003372961740086221
5,5,37,0.0022000627106750327
6,1,45,0.004328710404752786
6,2,25,0.0054295637444011806
7,3,55,0.0027472211443978064
7,5,53,0.002405246785223452
8,1,42,0.003830513813837645
9,5,40,0.0026710807335479916
